id,surprisal,entropy,deviation,tokens
1,[10.25655937 11.08729744  5.20540953  2.86435103 10.47150421],[6.00219822 6.09898233 2.64733171 1.2772609  4.46146584],[4.25436115 4.98831511 2.55807781 1.58709013 6.01003838],['Anne' 'lost' 'control' 'and' 'laughed']
2,[10.21823692  8.88241196  3.99940681  3.05401731  8.18346214],[6.00219822 6.65425348 1.49733162 4.88063622 7.15917969],[ 4.2160387   2.22815847  2.5020752  -1.82661891  1.02428246],['Billy' 'wrote' 'on' 'the' 'envelope']
3,[5.44238853 6.14569139 7.8160038  2.42518234 1.22735083],[6.00219822 5.34632206 4.452775   4.87933874 5.53130913],[-0.55980968  0.79936934  3.3632288  -2.4541564  -4.30395842],['He' 'called' 'over' 'his' 'shoulder']
4,[5.44238853 7.95413637 8.37082863 1.41422129 2.80424953],[6.00219822 5.34632206 4.31784105 5.37856102 7.50538826],[-0.55980968  2.60781431  4.05298758 -3.96433973 -4.7011385 ],['He' 'stayed' 'against' 'the' 'wall']
5,[10.90658283 10.33302879  3.16524696  1.16799688  4.58180046],[6.00219822 7.29649639 4.10800409 3.94841695 6.18661356],[ 3.15871525  3.0365324  -0.94275713 -2.78042006 -1.6048131 ],['Helen' 'ran' 'to' 'the' 'toilet']
6,[4.00244713 6.25434637 3.23369861 0.17079866 6.41276407],[6.00219822 4.93950558 4.7899847  0.92882866 1.095438  ],[-1.99975109  1.31484079 -1.5562861  -0.75803     5.31732607],['I' 'cannot' 'tell' 'you' 'more']
7,[ 7.34267235 10.12741947  8.36523342  3.97944117  7.77882385],[6.00219822 6.65126991 4.43418264 4.25438404 7.14969254],[ 1.34047413  3.47614956  3.93105078 -0.27494287  0.62913132],['Michael' 'gave' 'Adam' 'two' 'pounds']
8,[ 9.67881584 11.53750324  2.07445312  5.31873226  0.52566934],[6.00219822 5.66840076 3.42702913 4.91263771 1.75809324],[ 3.67661762  5.86910248 -1.35257602  0.40609455 -1.2324239 ],['Roger' 'smiled' 'and' 'sat' 'down']
9,[9.50723076 3.26530671 1.1989361  0.9239583  6.42766237],[6.00219822 4.15972614 3.92232513 2.77085876 1.37210393],[ 3.50503254 -0.89441943 -2.72338915 -1.84690046  5.0555582 ],['Things' 'were' 'looking' 'up' 'again']
10,[3.54744148 9.79249907 5.33781147 1.29295087 5.11846733],[6.00219822 5.31711864 7.80643368 3.98522425 6.18233299],[-2.45475674  1.80903387 -2.46862221 -2.69227338 -1.06386566],"['This' ""man's"" 'hair' 'is' 'black']"
