id,surprisal,entropy,deviation,tokens
1,[ 9.53564739 11.41084862  5.45175266  3.70808792 10.23399353],[6.67008877 6.05253696 2.15891528 0.83288926 4.55089808],[2.86555862 5.35831165 3.29283738 2.8751986  5.68309546],['Anne' 'lost' 'control' 'and' 'laughed']
2,[10.14128113  8.62190819  4.04799318  2.0389626   8.56167221],[6.67008877 6.32436275 2.37081718 4.82191563 7.55971813],[ 3.47119236  2.29754543  1.677176   -2.78295302  1.00195408],['Billy' 'wrote' 'on' 'the' 'envelope']
3,[5.71849632 5.98163891 7.74995899 2.29360557 4.07044029],[6.67008877 5.28491545 4.01981735 4.01778603 6.07233238],[-0.95159245  0.69672346  3.73014164 -1.72418046 -2.00189209],['He' 'called' 'over' 'his' 'shoulder']
4,[5.71849632 7.99852753 8.15036011 0.87106836 3.92123342],[6.67008877 5.28491545 4.20098972 3.86360145 6.28644228],[-0.95159245  2.71361208  3.94937038 -2.99253321 -2.36520886],['He' 'stayed' 'against' 'the' 'wall']
5,[10.37898755  9.05523682  2.2357254   0.7656526   6.04031754],[6.67008877 6.58620358 4.0650835  3.20318079 5.94932985],[ 2.11832905  2.46903324 -1.8293581  -2.43752813  0.09098768],['Helen' 'ran' 'to' 'the' 'toilet']
6,[4.22613811 6.4412508  3.05304861 0.29965505 6.9887886 ],[6.67008877 4.87039852 4.51536608 1.39870119 1.08721769],[-2.44395065  1.57085228 -1.46231747 -1.09904611  5.9015708 ],['I' 'cannot' 'tell' 'you' 'more']
7,[ 7.22954559 10.57034492  8.25847721  4.94266701  6.96914291],[6.67008877 6.7996726  4.38081408 3.83952904 6.90035629],[0.55945683 3.77067232 3.87766314 1.10313797 0.06878662],['Michael' 'gave' 'Adam' 'two' 'pounds']
8,[ 9.96999741 12.13103867  2.07701206  5.48949909  1.19388866],[6.67008877 5.56448078 3.36955214 5.01652956 2.34685612],[ 3.29990864  6.56655788 -1.29254007  0.47296953 -1.15296745],['Roger' 'smiled' 'and' 'sat' 'down']
9,[8.44832611 3.16574001 1.12885392 0.89188933 6.56485844],[6.67008877 4.19468737 3.46595621 2.61613083 1.45377183],[ 1.77823734 -1.02894735 -2.33710241 -1.7242415   5.11108685],['Things' 'were' 'looking' 'up' 'again']
10,[4.12131119 9.86266661 6.09562206 1.01093411 4.63723135],[6.67008877 5.13135052 7.5186224  3.71725845 5.67211819],[-2.54877758  2.28407192 -1.42300034 -2.70632434 -1.03488684],"['This' ""man's"" 'hair' 'is' 'black']"
11,[9.47797489 3.05563211 8.63111877 0.63418293 5.99117279],[6.67008877 3.53578925 7.30230665 2.58008862 1.74814379],[ 2.80788612 -0.48015714  1.32881212 -1.94590569  4.24302912],['Turn' 'your' 'hearing' 'aid' 'up']
12,[ 9.01536846 10.62458801  6.15795135  3.94446921  1.38555408],[6.67008877 3.61560869 4.85314274 1.29545867 3.45660877],[-1.37958622  7.00897932  1.30480862  2.64901066 -2.0710547 ],"[""You'll"" 'demand' 'nothing' 'of' 'me']"
13,[3.33973145 8.85857964 3.19325876 7.8011632  0.94973087 4.63595772],[6.67008877 7.61993504 5.54486656 2.96510792 3.06535935 6.62627554],[-3.33035731  1.2386446  -2.3516078   4.83605528 -2.11562848 -1.99031782],['A' 'horse' 'has' 'thrown' 'a' 'shoe']
14,[ 3.33973145 11.48555374  3.50204444  6.87583065  6.92119884  5.35788918],[6.67008877 7.61993504 4.29047871 5.48800182 2.80664039 4.00521755],[-3.33035731  3.86561871 -0.78843427  1.38782883  4.11455822  1.35267162],['A' 'tube' 'train' 'took' 'his' 'legs']
