id,surprisal,entropy,deviation,tokens
1,[10.79873657 10.94567871  3.94667959  3.00709939  9.87619305],[7.01057768 6.61276436 3.59039831 1.09507525 5.22874784],[3.78815889 4.33291435 0.35628128 1.91202414 4.6474452 ],['Anne' 'lost' 'control' 'and' 'laughed']
2,[10.19297791  8.59801865  4.61171198  2.98956633 10.11471748],[7.01057768 6.73675537 2.50040293 5.11434031 7.0620718 ],[ 3.18240023  1.86126328  2.11130905 -2.12477398  3.05264568],['Billy' 'wrote' 'on' 'the' 'envelope']
3,[5.94910049 5.62654495 7.64922857 3.51602721 2.44467521],[7.01057768 5.27909279 3.93264818 5.14465141 6.63163614],[-1.06147718  0.34745216  3.71658039 -1.6286242  -4.18696117],['He' 'called' 'over' 'his' 'shoulder']
4,[5.94910049 7.5254631  7.93282318 1.08017111 3.48209381],[7.01057768 5.27909279 4.14786816 4.80290461 7.56029034],[-1.06147718  2.24637032  3.78495502 -3.7227335  -4.07819653],['He' 'stayed' 'against' 'the' 'wall']
5,[10.8987447  10.02528667  3.68532658  1.16971588  5.04378939],[7.01057768 7.27741575 4.51442003 4.33342075 5.9911356 ],[ 2.13658571  2.74787092 -0.82909346 -3.16370487 -0.94734621],['Helen' 'ran' 'to' 'the' 'toilet']
6,[3.9997139  6.41824722 3.18580389 0.22361428 6.18077135],[7.01057768 4.81620884 4.66856861 1.15836978 2.29336596],[-3.01086378  1.60203838 -1.48276472 -0.9347555   3.8874054 ],['I' 'cannot' 'tell' 'you' 'more']
7,[ 8.77130127 10.00307941  8.71459007  4.72362614  9.01093674],[7.01057768 7.00888062 3.94091177 4.71196079 6.91952372],[1.76072359 2.9941988  4.7736783  0.01166534 2.09141302],['Michael' 'gave' 'Adam' 'two' 'pounds']
8,[10.20880127 10.09189224  1.7126919   5.03555536  0.60737681],[7.01057768 5.95099449 3.44853592 4.89745998 1.95895123],[ 3.19822359  4.14089775 -1.73584402  0.13809538 -1.35157442],['Roger' 'smiled' 'and' 'sat' 'down']
9,[9.09023666 4.0981102  1.71927333 1.02782917 5.02089167],[7.01057768 4.2475152  4.71737003 3.01347661 2.9314599 ],[ 2.07965899 -0.149405   -2.9980967  -1.98564744  2.08943176],['Things' 'were' 'looking' 'up' 'again']
10,[ 4.85804367 10.52584147  5.81905365  0.92982447  4.74754047],[7.01057768 5.58222103 7.29327202 3.35159326 6.10920429],[-2.15253401  2.15245342 -1.47421837 -2.42176867 -1.36166382],"['This' ""man's"" 'hair' 'is' 'black']"
11,[8.77156448 3.30484724 9.32233429 2.52428436 5.0292244 ],[7.01057768 3.91488099 7.27111149 4.69420815 2.94708133],[ 1.7609868  -0.61003375  2.0512228  -2.16992378  2.08214307],['Turn' 'your' 'hearing' 'aid' 'up']
12,[8.8574791  9.25487328 5.98477793 5.54061604 1.34721529],[7.01057768 3.49140644 2.66521978 0.9508419  3.84326172],[-1.68568754  5.76346684  3.31955814  4.58977413 -2.49604654],"[""You'll"" 'demand' 'nothing' 'of' 'me']"
13,[3.94232941 8.81179333 3.25457788 8.54421806 1.20784497 5.88304472],[7.01057768 7.95024204 5.82405758 3.29109645 3.85903072 6.87014389],[-3.06824827  0.86155128 -2.5694797   5.25312138 -2.65118575 -0.98709917],['A' 'horse' 'has' 'thrown' 'a' 'shoe']
14,[ 3.94232941 10.33143139  4.15003777  5.99103355  6.8229084   7.08232737],[7.01057768 7.95024204 5.14075661 5.55708408 3.21528459 5.26040077],[-3.06824827  2.38118935 -0.99071884  0.43394947  3.60762382  1.82192659],['A' 'tube' 'train' 'took' 'his' 'legs']
15,[8.78279877 9.164011   1.04526401 9.09589195 3.020118   9.25274658],[7.01057768 5.99103642 4.33500099 6.50125694 2.00631309 6.32871246],[ 1.77222109  3.17297459 -3.28973699  2.59463501  1.01380491  2.92403412],['Five' 'will' 'be' 'listening' 'for' 'sure']
16,[10.65235901 10.17897511  3.39151096  5.76379204  6.180933    1.50484169],[7.01057768 6.56292486 4.88953972 6.70018721 5.6765461  3.3593812 ],[ 3.64178133  3.61605024 -1.49802876 -0.93639517  0.5043869  -1.85453951],['Gordon' 'felt' 'his' 'anger' 'build' 'up']
17,[9.08002472 8.0772171  2.27083302 2.37549353 5.9024992  1.89058828],[7.01057768 5.75401306 3.47583675 3.64716649 5.92177105 4.0528965 ],[ 2.06944704  2.32320404 -1.20500374 -1.27167296 -0.01927185 -2.16230822],['Harry' 'smiled' 'at' 'his' 'little' 'brother']
18,[ 5.94910049  7.04800034 11.71438694  3.1557858   2.97781992  5.23308563],[7.01057768 5.27909279 4.3397398  4.49877119 4.93040657 5.98307943],[-1.06147718  1.76890755  7.37464714 -1.34298539 -1.95258665 -0.7499938 ],['He' 'needed' 'putting' 'in' 'his' 'place']
19,[ 5.94910049  8.45682907  3.67542458  4.68482161 11.49054432  4.22858191],[7.01057768 5.27909279 3.86394238 5.5238843  6.89232445 4.47291183],[-1.06147718  3.17773628 -0.18851781 -0.83906269  4.59821987 -0.24432993],['He' 'shouted' 'and' 'the' 'calling' 'ceased']
20,[5.94910049 7.04908371 2.26665592 7.91679907 4.08644581 7.45527697],[7.01057768 5.27909279 4.83703518 7.69882107 3.01465178 4.40826654],[-1.06147718  1.76999092 -2.57037926  0.217978    1.07179403  3.04701042],['He' 'uses' 'his' 'belt' 'on' 'you']
