id,surprisal,entropy,deviation,tokens
1,[ 9.75733089 10.91053486  4.9031167   2.99922729  8.62456608],[6.76311779 5.94358397 2.55789328 1.52273822 5.44630957],[2.9942131  4.96695089 2.34522343 1.47648907 3.17825651],['Anne' 'lost' 'control' 'and' 'laughed']
2,[9.37131405 8.8058424  3.84601092 1.89661884 8.45516777],[6.76311779 6.43663883 2.62489557 4.2076602  7.82294512],[ 2.60819626  2.36920357  1.22111535 -2.31104136  0.63222265],['Billy' 'wrote' 'on' 'the' 'envelope']
3,[6.22000313 5.68732643 7.73755932 2.01268816 2.84214163],[6.76311779 5.22920847 4.26209354 3.93649054 6.61592722],[-0.54311466  0.45811796  3.47546577 -1.92380238 -3.77378559],['He' 'called' 'over' 'his' 'shoulder']
4,[6.22000313 8.13338089 8.29689598 0.83031601 4.14654303],[6.76311779 5.22920847 4.07481289 3.91950989 5.63480854],[-0.54311466  2.90417242  4.22208309 -3.08919382 -1.48826551],['He' 'stayed' 'against' 'the' 'wall']
5,[10.2755543  11.35050583  2.87540627  0.70149624  5.44258118],[6.76311779 6.43432331 3.84456921 3.19601345 5.72152567],[ 2.17906666  4.91618252 -0.96916294 -2.49451733 -0.27894449],['Helen' 'ran' 'to' 'the' 'toilet']
6,[4.05731678 6.53087139 2.61239314 0.15103863 7.31152058],[6.76311779 4.73105574 4.53391743 0.87636352 1.24131405],[-2.70580101  1.79981565 -1.92152429 -0.72532487  6.07020664],['I' 'cannot' 'tell' 'you' 'more']
7,[ 7.39834118 10.61399078  8.38724422  4.55977583  7.25802088],[6.76311779 6.74316025 3.90332031 3.12656307 7.12812138],[0.63522339 3.87083054 4.48392391 1.43321276 0.1298995 ],['Michael' 'gave' 'Adam' 'two' 'pounds']
8,[ 9.13173771 12.76255417  2.15375996  5.52963448  0.92727101],[6.76311779 5.58833742 3.13556004 4.83640432 2.10898566],[ 2.36861992  7.17421675 -0.98180008  0.69323015 -1.18171465],['Roger' 'smiled' 'and' 'sat' 'down']
9,[8.66516304 3.39663005 1.38279593 1.66165078 6.37809277],[6.76311779 3.75197959 4.08691597 3.11915064 1.15678358],[ 1.90204525 -0.35534954 -2.70412016 -1.45749986  5.22130919],['Things' 'were' 'looking' 'up' 'again']
10,[ 4.27717018 10.12694883  6.07654095  1.04111087  5.44129801],[6.76311779 5.10328627 7.37625504 3.61990619 5.69350243],[-2.48594761  2.39673996 -1.29971409 -2.57879543 -0.25220442],"['This' ""man's"" 'hair' 'is' 'black']"
11,[8.33224392 2.92943048 9.51102066 1.34517813 4.90745783],[6.76311779 3.52671051 7.03571606 2.6636405  1.7891469 ],[ 1.56912613 -0.59728003  2.4753046  -1.31846237  3.11831093],['Turn' 'your' 'hearing' 'aid' 'up']
12,[ 9.18795061 10.16192913  4.96390057  3.76316786  1.75625539],[6.76311779 3.72554398 4.6777916  1.8553232  4.11996889],[-1.43773174  6.43638515  0.28610897  1.90784466 -2.3637135 ],"[""You'll"" 'demand' 'nothing' 'of' 'me']"
13,[3.71531987 9.02721977 2.95492935 7.15362978 1.0331403  4.55950451],[6.76311779 7.73409748 5.47559357 2.69165754 3.21710968 6.76621628],[-3.04779792  1.29312229 -2.52066422  4.46197224 -2.1839695  -2.20671177],['A' 'horse' 'has' 'thrown' 'a' 'shoe']
14,[ 3.71531987 10.29628754  4.58218575  7.46495295  8.18346596  5.35104799],[6.76311779 7.73409748 4.80876017 5.4886179  2.62789845 2.63439322],[-3.04779792  2.56219006 -0.22657442  1.97633505  5.55556774  2.71665478],['A' 'tube' 'train' 'took' 'his' 'legs']
15,[ 8.14253426  9.68112946  1.4350003  10.08104324  2.67510176  7.50900841],[6.76311779 5.94458628 5.04274654 6.25965309 3.12555408 5.68137932],[ 1.37941647  3.73654318 -3.60774612  3.82139015 -0.45045233  1.82762909],['Five' 'will' 'be' 'listening' 'for' 'sure']
16,[9.67701626 9.87090874 3.21095109 6.07650948 4.25980377 2.93777227],[6.76311779 5.77497625 4.74779892 6.00907946 4.54552937 3.22146225],[ 2.91389847  4.09593248 -1.53684783  0.06743002 -0.28572559 -0.28368998],['Gordon' 'felt' 'his' 'anger' 'build' 'up']
17,[8.35309792 8.59754944 2.00361085 1.56160688 4.80095911 0.98949623],[6.76311779 4.97499609 3.20744181 2.65828323 5.29112768 2.82591271],[ 1.58998013  3.62255335 -1.20383096 -1.09667635 -0.49016857 -1.83641648],['Harry' 'smiled' 'at' 'his' 'little' 'brother']
18,[ 6.22000313  8.29746246 10.95879078  1.88140404  3.0741601   2.06895471],[6.76311779 5.22920847 3.80140543 1.92710876 3.71753454 6.07195663],[-0.54311466  3.06825399  7.15738535 -0.04570472 -0.64337444 -4.00300217],['He' 'needed' 'putting' 'in' 'his' 'place']
19,[ 6.22000313  9.18365669  3.34281588  4.12756538 11.52575493  4.90753269],[6.76311779 5.22920847 3.68615341 5.49368763 6.99155474 4.30885315],[-0.54311466  3.95444822 -0.34333754 -1.36612225  4.53420019  0.59867954],['He' 'shouted' 'and' 'the' 'calling' 'ceased']
20,[6.22000313 7.3854146  2.13800621 8.1506052  5.6699667  4.22635126],[6.76311779 5.22920847 4.60589886 7.60264874 2.75677824 4.41841269],[-0.54311466  2.15620613 -2.46789265  0.54795647  2.91318846 -0.19206142],['He' 'uses' 'his' 'belt' 'on' 'you']
