item,word,word2,sentence,context_length,sent_id,item_id,list,rating_mean,rating_sd,cloze_p_smoothed,cloze_s,competition,entropy,ELAN,LAN,N400,EPNP,P600,PNP,RTfirstfix,RTfirstpass,RTrightbound,RTgopast,self_paced_reading_time,rnn,rnn_pos,psg,psg_pos,bigram,trigram,tetragram,bigram_pos,trigram_pos,tetragram_pos,is_start_end,is_multitoken_GPT2,s_GPT2,is_multitoken_GPT2_medium,s_GPT2_medium,is_multitoken_GPT2_large,s_GPT2_large,is_multitoken_GPT2_xl,s_GPT2_xl,is_multitoken_GPTNeo_125M,s_GPTNeo_125M,is_multitoken_GPTNeo,s_GPTNeo,is_multitoken_GPTNeo_2.7B,s_GPTNeo_2.7B,Subtlex_log10,length
Arthur placed,the,THE,Arthur placed the bars of chocolate on the counter.,2,96,577,1,4.770491803278689,0.5595665770025587,0.1595744680851064,1.835244581167793,-0.3297872340425531,1.825248219836488,-0.5149381641589857,0.0804199131855508,1.1458710791035132,-0.6608746442412289,1.005231123586947,1.627545330967049,71.14285714285714,75.80952380952381,86.57142857142857,102.95238095238096,296.1666666666667,1.9764572381973269,2.091901609997183,1.6580000000000013,2.023000000000001,3.074687926376809,3.048852921633416,3.048852921633416,2.0481678608989475,2.3031146875654342,2.364524631995585,0,0,1.734722715868429,0,1.7230836374147145,0,1.6847017040605416,0,1.7311511161058228,0,1.199903996382916,0,1.4758041671089084,0,1.757842515830771,14.222246857765809,3
Finally Maria sat down with a,cup,CUP,Finally Maria sat down with a cup of tea and a sandwich.,6,152,1093,1,3.80327868852459,1.0298814192444283,0.1769911504424778,1.7316555451583495,0.0884955752212389,3.1711009192945223,-1.0644751596902111,-2.39673646520948,-1.1774568813187736,-0.9211273881564256,1.2570812120324089,0.4653428831614388,129.52380952380952,129.52380952380952,131.52380952380952,167.33333333333334,248.94117647058823,7.307446479797363,0.4851348757766224,6.896999999999999,0.4089999999999989,7.004233594378588,6.177605545993726,3.07063537661314,0.5951629844967289,0.5370088953880714,0.3972949397004716,0,0,6.487691275027195,0,2.828386978931082,0,3.5548200702210155,0,3.950608981591109,0,4.606840439358174,0,4.697336886334613,0,2.8668342029050877,7.876258882303226,3
He smiled again and felt like a,man,MAN,He smiled again and felt like a man and not just the kid.,7,183,1440,1,3.098360655737705,1.1790521338881623,0.0608695652173913,2.7990219793079367,-0.0521739130434782,3.371840296640132,-1.5724252404900942,1.1446919872919423,0.383963947946375,-0.1120338014551822,0.2600067291959104,0.8709706773915588,129.61904761904762,133.33333333333334,138.66666666666666,182.47619047619048,256.22535211267603,4.7163286209106445,0.4809333442797402,4.799,0.4519999999999999,4.952100681949504,3.826804321152384,3.8258142095623966,0.5951629844967289,0.5370088953880714,0.4553200840439216,0,0,3.161115261137444,0,3.850357586704521,0,3.644434061485863,0,3.557157220923204,0,4.174962889507129,0,3.524991758243334,0,2.8905412804234567,11.452463954850357,3
She wound up,talking,TALKING,She wound up talking to Barry about her time in India.,3,142,988,1,3.295081967213114,1.2294207619184188,0.016260162601626,4.119037174812472,-0.1056910569105691,3.54708551450646,-1.130209664861491,-0.7646731904701948,1.1432723782279277,0.5708517266820476,0.3321628843180157,2.570278943481071,206.3809523809524,240.66666666666663,318.3809523809524,470.7619047619048,334.825,8.206014633178711,4.472577861663605,9.262,5.026999999999999,11.329340355505812,11.092864866455324,11.208523715676415,4.753640872784348,4.220523346203437,4.031412032515835,0,0,6.600301741800463,0,5.755499495678858,0,5.807161926632798,0,5.980577930682734,0,5.9705431878355615,0,5.301743814023993,0,5.375388041536639,10.141913727381494,7
"Good God, if you are","watching,","WATCHING,","Good God, if you are watching, give me strength.",5,86,500,1,3.80327868852459,0.9969900054856374,0.0080645161290322,4.820281565605037,-0.064516129032258,3.660159699026764,-1.5649888395832974,1.7308340970301213,0.9265916434967,1.7900922837278783,0.4650500416755676,2.651516302769565,167.33333333333334,188.28571428571428,201.52380952380952,288.95238095238096,290.8641975308642,11.65220546722412,14.179964246197844,12.731000000000002,5.7620000000000005,11.96116970502338,10.897858934929658,10.922427517871906,18.795265286880635,18.53348438765814,18.87622417875031,0,1,15.424097591398208,1,13.900047786206926,1,12.888239869256042,1,14.479459698720998,1,14.031619099313474,1,13.5163595769503,1,13.550831102193394,8.533263371593732,9
The truck was an older,version,VERSION,The truck was an older version of the ones the others drove.,5,174,1334,1,4.147540983606557,0.980409193037453,0.1276595744680851,2.0583881324820035,-0.4361702127659574,1.6898595697451957,-1.1269361673494656,-2.09433064653793,0.89576233692822,-0.3414278751895013,-0.0535701900011017,-0.2948083732574004,182.7317073170732,194.2439024390244,194.2439024390244,194.2439024390244,304.12987012987014,8.756003379821777,0.5573516456500603,7.929000000000002,0.4359999999999999,11.289091168080278,12.306189055357606,12.468175916649738,1.131488012112181,0.5714302399432394,0.5132254939625359,0,0,2.495677970403576,0,3.185639353698802,0,4.790169995127464,0,3.661894047686796,0,3.6343058361072025,0,3.846145771264971,0,5.232730881726619,6.71901315438526,7
Emma put her mug of,tea,TEA,Emma put her mug of tea down on the table with a bang.,5,178,1378,1,4.573770491803279,0.7406982380034535,0.4555555555555555,0.7862376036259573,0.0999999999999999,1.4217769232673003,-1.7698214873219325,-0.7928411109305462,0.5715736652103564,-0.6195942765033297,0.0349729483326276,-0.4593476687964125,140.28571428571428,149.33333333333334,152.1904761904762,193.7142857142857,261.25396825396825,6.579209804534912,1.7926124698213175,7.269000000000005,1.833,7.128181749934457,0.9546978312571912,0.8649983263745152,1.682231827579962,1.4650750274596935,1.5442448107121076,0,0,1.7890377540749651,0,1.0285453462984149,0,0.957025332419446,0,0.530573696418939,0,4.1902548744845225,0,0.4425579931197543,0,1.333820995277628,8.003028666384733,3
Dexter opened his letter and found a,photograph,PHOTOGRAPH,Dexter opened his letter and found a photograph inside.,7,104,646,1,3.7704918032786887,0.9200261341025556,0.0077519379844961,4.859812404361672,-0.0930232558139534,3.742823702554118,1.787873999726522,-0.2819771988991352,-1.0357336691092878,0.6510147716951005,0.6296204942322913,1.373245388351304,187.52380952380952,259.04761904761904,259.04761904761904,276.0952380952381,305.4225352112676,8.346025466918945,0.4608802206223944,7.994,0.4740000000000002,8.013548744041596,5.949902906147544,5.801340115947568,0.5951629844967289,0.5827336301647472,0.4670517550927262,0,0,5.13237907065623,0,4.858839562282174,0,5.274681904456413,0,4.21403264491285,0,4.450434137457783,0,5.548751459682893,0,4.324097148815234,6.361302477572995,10
In the morning at breakfast,Mike,MIKE,In the morning at breakfast Mike smiled at the letter he received.,5,162,1202,1,2.459016393442623,1.3111543322813333,0.0103092783505154,4.574710978503383,-0.1443298969072165,2.4507188735150955,0.7041022737575525,-1.896641100566587,-1.1836071945726871,-1.6829571662389633,-1.687500883909789,-0.8111563735487597,156.0,167.8095238095238,172.95238095238096,197.23809523809524,288.1898734177215,11.830185890197754,7.378748834828807,10.801000000000002,8.148,12.233450392269926,12.537690960607229,12.73030220363618,8.427760776420296,8.4650626549268,9.190169726561557,0,0,10.138020313920546,0,9.633627437759907,0,8.983413688194743,0,8.966170217460201,0,10.491766043738837,0,10.213355543817112,0,10.0258128350056,8.649448770536708,4
He was,already,ALREADY,He was already up and dressed and invited us in for a cup of tea.,2,202,1672,1,3.9344262295081966,0.9104733651424844,0.0075187969924812,4.890349128221754,-0.037593984962406,3.890166916192492,2.3856214728523044,1.5295065226908355,1.2722030038183385,0.2012588721406708,0.4869814586233009,0.7413545633073131,146.2439024390244,180.0,189.85365853658536,211.5121951219512,256.5571428571429,6.1898040771484375,1.492521453026455,6.091999999999999,1.7799999999999998,5.885407497692781,5.4220813252805184,5.505434905646903,1.8210546828365728,1.661701978890827,1.5962533002075645,0,0,5.5461185677009714,0,5.894749655364357,0,5.950619634864424,0,5.826482566183756,0,5.864775829862655,0,5.4095297500119335,0,6.01489015001377,9.6956020036109,7
