id,text
1,Anne lost control and laughed
2,Billy wrote on the envelope
3,He called over his shoulder
4,He stayed against the wall
5,Helen ran to the toilet
6,I cannot tell you more
7,Michael gave Adam two pounds
8,Roger smiled and sat down
9,Things were looking up again
10,This man's hair is black
11,Turn your hearing aid up
12,You'll demand nothing of me
13,A horse has thrown a shoe
14,A tube train took his legs
15,Five will be listening for sure
16,Gordon felt his anger build up
17,Harry smiled at his little brother
18,He needed putting in his place
19,He shouted and the calling ceased
20,He uses his belt on you
21,He's broken his wrists very badly
22,I am touched deeply in places
23,I don't want to hear it
24,I knew I heard your voice
25,I wouldn't want to miss this
26,Jack walked up to the door
27,Ross sat back down and shivered
28,She couldn't help feel for Alex
29,The bored looking soldier just pointed
30,The campaign will pay for itself
31,They're riding out to meet them
32,We barely escaped with our lives
33,We've been travelling almost three days
34,Alice is looking for somewhere to live
35,Alan forgot to shave again this morning
36,Have a carriage sent for us immediately
37,He probably doesn't want people to know
38,He put the fork on the table
39,I'll give him more than a slap
40,Andrew nodded and stood against the counter
41,Looks like a walk did the trick
42,Sam felt proud when he went home
43,Scott got up and washed his plate
44,Simon nodded and walked into the room
45,Steve sat down to eat his lunch
46,Ted smiled and bit his bottom lip
47,Thomas stepped back and shook his head
48,Tom stood up and wiped his jeans
49,Tony stopped off at his first delivery
50,Normally they want to cut things up
51,"Powerful in the wrong hands, is that"
52,She had refused to leave her home
53,She hid the boxes and matches well
54,The bored looking soldier continued looking bored
55,The dead must not kill the living
56,The prison guard walked along the row
57,"The van is your lead, follow that"
58,You're getting up early in the morning
59,After lunch he was told he had visitors
60,Albert spoke before Barbara had a chance to
61,Come within the walls to escape the enemy
62,Follow me closely and watch for their leader
63,He called out but she did not move
64,He sat down and began to eat breakfast
65,He slammed the knife down on the lamb
66,He staggered into the chair at his desk
67,I do not spare the birds a killing
68,I think our friend's demands are well justified
69,Let us leave these poor people in peace
70,Walter closed the door and took a breath
71,William sat down and tucked into his breakfast
72,Alec stood against the wall to steady himself
73,No-one else had dared step within the ring
74,None of the city people dress like that
75,She saw the throwing knife in his hand
76,"She was smiling in the dark, teeth flashing"
77,Shut your smart foul mouth and sit down
78,Tell me what really happened to the truck
79,The door was opened and Alexander walked out
80,There were choked screams and shouts of dismay
81,There will be men to kill either way
82,They were definitely holding hands underneath the table
83,Claudia still teaches and still claims to hate it
84,"Burn him now, don't wait for him to escape"
85,Don't die of cold before you die in battle
86,"Good God, if you are watching, give me strength"
87,He heaved his shoulders and swung the axe again
88,He is after glory and heads for his hall
89,He just wished he could talk to his dad
90,He lay his sword aside and extended his hands
91,He sighed and walked back to the wood shop
92,He smiled when she let out a big yawn
93,He was leaning against his truck smoking a joint
94,I was thinking of getting the band together again
95,"It is a narrow ship, much like our own"
96,Arthur placed the bars of chocolate on the counter
97,John gave Bernard a hard slap on the head
98,Let's get out and I'll buy you a drink
99,Let's have the gates closed and go home early
100,Andrew closed the office door on the way out
101,Charles felt sick to the pit of his stomach
102,Christopher groaned and lay his hands across his stomach
103,Dave kicked him in the stomach and Paul groaned
104,Dexter opened his letter and found a photograph inside
105,Duncan took a breath and wanted to be sick
106,Edward washed his hands and flicked water at Bob
107,She turned and saw him standing in her path
108,They turned round just as Frankie walked toward them
109,Underneath the table her hand was gripping the chair
110,Whether Peter heard him or not Gabriel didn't care
111,You give me a lead and I'll follow it
112,All the bowls from the empty tables are cleared up
113,His dark hair was just visible under his white hat
114,His men will not follow him and they are few
115,I'll break your neck if you don't fix that water
116,Ian gave Geoffrey a hard slap across his right ear
117,"Jake smiled again at his baby daughter, she was perfect"
118,Jimmy liked the fact they were calling him Jim
119,Brian sniffed and wiped his grubby hand across his nose
120,Phil let him go and Charlie fell to the ground
121,Let me through and you'll hear nothing more of it
122,Men could be paid to do all sorts of things
123,Gilbert sat as still as he could nursing his lip
124,Jacques sighed and tried to move out of the way
125,Jamie took a cigarette and Andy gave him a light
126,Joseph walked into the office and removed his flat cap
127,She would soon be found if she tried to hide
128,The brothers stood up and came down from the platform
129,"Anthony was approached, just as he had predicted, in the park"
130,Despite what Frank had told her Ellen thanked the young soldier
131,He called earlier and I already arranged to go swimming tomorrow
132,He drove his truck home and walked down to the village
133,He held his mother tight and she cried into his chest
134,He went to the door and walked out of the room
135,His helmet was lost but he could still do some damage
136,Ken just hoped he wasn't taking his temper out on Chris
137,Lawrence rubbed the back of his neck and hung his head
138,Lewis sat down and Lucy laid her hand on his cheek
139,Matthew stood against the wall with his hands behind his back
140,Run along home now and bring us some men to kill
141,She just kept telling herself he had to learn a lesson
142,She wound up talking to Barry about her time in India
143,"The gate was double, one huge mass of wood following another"
144,"The gathered villagers took a step back, almost as one man"
145,We shall arrive properly or you will never live this down
146,"While they sat drinking their tea, Mick dug them a trench"
147,You know better than to talk to your mother like that
148,You know that I will do whatever you ask of me
149,You shouldn't have been racing my truck in the first place
150,A smile came to his lips as he thought of an idea
151,All last week there was a white van parked across the street
